block_size,key_size,plaintext,ciphertext,mode,algorithm
128,128,Hello World!,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,128,Test Data,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,128,Sample,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,192,Hello World!,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,192,Test,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,256,Data,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
128,256,Example,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
256,256,Hello World!,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
256,256,Test Data,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
256,256,Sample,0x6d251e0e0e0e0e0e0e0e0e0e0e0e,CBC,AES
2048,2048,Hello World!,0x1234567890abcdef1234567890abcdef,ECB,RSA
2048,2048,Test Data,0x1234567890abcdef1234567890abcdef,ECB,RSA
2048,2048,Sample,0x1234567890abcdef1234567890abcdef,ECB,RSA
4096,4096,Hello World!,0x1234567890abcdef1234567890abcdef1234567890abcdef,ECB,RSA
4096,4096,Test,0x1234567890abcdef1234567890abcdef1234567890abcdef,ECB,RSA
4096,4096,Data,0x1234567890abcdef1234567890abcdef1234567890abcdef,ECB,RSA
64,56,Hello!,0x6d251e0e0e0e0e0e,CBC,DES
64,56,Test,0x6d251e0e0e0e0e0e,CBC,DES
64,56,Sample,0x6d251e0e0e0e0e0e,CBC,DES
64,168,Data,0x6d251e0e0e0e0e0e0e0e0e0e0e0e0e0e,CBC,3DES
